ZTS
ZNGA
ZION
ZBH
YUM
XYL
COST
XRX
XRAY
XOM
XLNX
XL
XEL
XEC
X
WYNN
WYN
WY
WWE
WU
WRK
WMT
WMB
WM
WLTW
WHR
WGO
WFC
WELL
WEED.TO
WEC
WDC
WBA
WAT
VZ
VZ
VTR
VRTX
VRSN
VRSK
VNO
VMC
VLO
VIX
VIAB
VFC
VAR
V
UTX
USB
URI
UPS
UNP
UNM
UNH
UN
ULTA
UHS
UDR
UAL
UAA
UA
TYL
TXT
TXRH
TXN
TWX
TWTR
TTWO
TTM
TSS
TSN
TSLA
TSCO
TRV
TRP
TROW
TRIP
TPR
TNY.CN
TMO
TMK
TJX
TIF
TGT
TEL
TDG
TD
TAP
T
SYY
SYMC
SYK
SYF
SWKS
SWK
STZ
STX
STT
STOR
STI
SSS
SRE
SRCL
SQ
SPPI
SPGI
SPG
SOT-UN.TO
SO
SNPS
SNA
SLG
SLB
SJM
SINA
SIG
SHW
SEE
SEAC
SCHW
SCG
SBUX
SBAC
RYAAY
RY
RUF-UN.V
RUF-U.V
RTN
RSG
RRC
ROST
ROP
ROK
RMD
RLJ
RL
RJF
RIG
RHT
RHI
RF
REI-UN.TO
REGN
REG
REF-UN.TO
RE
RCL
RCI
QRVO
QCOM
PZZA
PYPL
PYPL
PXD
PX
PWR
PVH
PSX
PSA
PRU
PRGO
PPL
PPG
PNW
PNR
PNC
PM
PLD
PKI
PKG
PII
PHM
PH
PGR
PG
PFG
PFE
PEP
PEG
PDCO
PCG
PCAR
PBCT
PAYX
OXY
OSTK
ORLY
ORCL
OMC
OKE
OHI
OC
O
NWSA
NWS
NWL
NVDA
NUE
NTRS
NTAP
NSC
NRG
NOV
NOC
NLSN
NKE
NKE
NI
NFX
NFLX
NEM
NEE
NDAQ
NCLH
NBL
NAVI
N.CN
MYL
MU
MTD
MTB
MSI
MSFT
MS
MRO
MRK
MRG-UN.TO
MPC
MOS
MON
MO
MNST
MNRO
MMM
MMC
MLM
MKC
MHK
MGM
MG.TO
MET
MDT
MDLZ
MCO
MCK
MCHP
MCD
MAT
MAS
MAR
MAC
MAA
MA
M
LYV
LYB
LUV
LUK
LRCX
LOW
LNT
LNC
LMT
LLY
LLL
LKQ
LH
LFX.TO
LEN
LEG
LB
LAD
L
KSU
KSS
KRO
KR
KORS
KO
KMX
KMI
KMB
KLAC
KIM
KHC
KEY
K
JWN
JPM
JNPR
JNJ
JEC
JCI
JBHT
IVZ
ITW
IT
ISRG
IRM
IR
IQV
IPGP
IPG
IP
INTU
INTC
INFO
INCY
ILMN
IIP-UN.TO
IFF
IDXX
ICE
IBM
HUM
HSY
HST
HSIC
HRS
HRL
HRB
HPQ
HPE
HP
HON
HON
HOLX
HOG
HMMJ.TO
HLT
HII
HIG
HES
HD
HCP
HCA
HBLK.TO
HBI
HBAN
HAS
HAL
GWW
GT
GS
GRT-UN.TO
GRMN
GPS
GPRO
GPN
GPC
GOOGL
GOOG
GM
GLW
GIS
GILD
GGP
GE
GD
FTV
FTI
FRT
FOXA
FOX
FMC
FLS
FLR
FLIR
FL
FITB
FISV
FIS
FFIV
FE
FDX
FDC
FCX
FBHS
FB
FB
FAST
F
EXR
EXPE
EXPE
EXPD
EXC
EW
EVHC
ETSY
ETR
ETN
ETFC
ESS
ESRX
ES
EQT
EQR
EQIX
EPD
EOG
EOD
ENB
ENB
EMR
EMN
EL
EIX
EFX
ED
ECL
EBAY
EA
DZNZ
DXC
DWDP
DVN
DVA
DUK
DTE
DRI
DRE
DPS
DOV
DLTR
DLR
DLPH
DISH
DISCK
DISCA
DIS
DIR-UN.TO
DHR
DHI
DGX
DG
DFS
DE
DAL
D
CXO
CVX
CVS
CVE
CUBI
CTXS
CTSH
CTL
CTC.TO
CTAS
CSX
CSRA
CSCO
CRM
CRM
CPB
COTY
COST
COP
COO
COL
COG
COF
CNP
CNC
CMS
CMI
CMG
CME
CMCSA
CMA
CM
CLX
CL
CINF
CI
CHV.CN
CHTR
CHRW
CHK
CHD
CGX.TO
CFG
CF
CF
CERN
CELG
CDNS
CCL
CCI
CBS
CBOE
CBG
CB
CAT
CAH
CAG
CA
C
BXP
BWA
BTE
BSX
BRK.B
BR
BMY
BMO
BLL
BLK
BKNG
BK
BIIB
BIDU
BHGE
BHF
BF.B
BEN
BDX
BCPC
BCO
BBY
BBT
BAX
BAC
BABA
BA
AZO
AYI
AXP
AWK
AVY
AVID
AVGO
AVB
ATVI
ARR
ARNC
ARE
ARCO
APTV
APH
APH
APD
APC
APA
AOS
AON
ANTM
ANSS
ANDV
AMZN
AMT
AMP
AMGN
AMG
AME
AMD
AMAT
ALXN
ALLE
ALL
ALK
ALGN
ALB
AKAM
AJG
AIZ
AIV
AIG
AGN
AFL
AET
AES
AEP
AEE
ADSK
ADS
ADP
ADM
ADI
ADBE
ACN
ACLS
ACB.TO
ABT
ABC
ABBV
ABB
AAR-UN.TO
AAPL
AAP
AAL
A
